URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
2.3.19 FASILITASI DAN STIMULASI PEMUGARAN RTLH;20000000;2017;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Sanitasi Lingkungan;210000000;2018;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pengelolaan Air Bersih Berskala Desa;40000000;2018;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Lapangan Desa;253148000;2018;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Penguatan Permodalan  Bum Desa;25000000;2018;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pengembangan Sarana Prasarana Komunikasi dan Informatika;50000000;2018;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan Kandang Ternak Komunal Milik Desa;163490000;2018;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Fasilitasi Terhadap Kelompok-Kelompok Rentan, Kelompok Miskin, Perempuan, Masyarakat Adat, dan Difabel;10000000;2018;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan Promosi Kesehatan dan Gerakan Hidup Bersih dan Sehat;17754000;2018;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Saluran Pembuangan Air Limbah;44415000;2018;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Irigasi Tersier/Pintu Air;59252000;2018;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah NonFormal Milik Desa
(Honor, Pakaian dll)";3600000;2019;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Penyuluhan dan Pelatihan Pendidikan Bagi Masyarakat;22000000;2019;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);27940000;2019;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
"Penyuluhan dan Pelatihan Bidang Kesehatan (Untuk Masy, Tenaga dan
Kader Kesehatan dll)";11457000;2019;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
"Penyelenggaraan Promosi Kesehatan dan Gerakan Hidup Bersih dan
Sehat";4650000;2019;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitas/Peningkatan/Pengerasan Jalan Desa **);457619000;2019;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jalan Lingkungan
Permukiman **)";29109000;2019;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Prasarana Jalan Desa (Gorong,
selokan dll)";55949000;2019;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Dukungan Pelaksanaan Program Jambanisasi untuk Keluarga Miskin;195940000;2019;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
"Penyediaan Kendaraan Pengangkut Sampah, Gerobak Sampah, Tong
Sampah, Mesin Pengolah Sampah";69000000;2019;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Peningkatan Produksi Peternakan  (alat produksi/pengelolaan/kandang);170170000;2019;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Pemetaan dan Analisis Kemiskinan Desa secara Partisipatif;12104400;2020;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah Non-Formal Milik Desa
(Honor, Pakaian dll)";3600000;2020;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Penyuluhan dan Pelatihan Pendidikan Bagi Masyarakat;12000000;2020;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);54480000;2020;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana
Posyandu/Polindes/PKD **";8711400;2020;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Fasilitasi Pelayanan Kesehatan Bagi Masyarakat Miskin;5000000;2020;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitas/Peningkatan/Pengerasan Jalan Desa;102257200;2020;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jalan Lingkungan
Permukiman (Dipilih)";60664000;2020;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jalan Usaha Tani
(Dipilih)";36198000;2020;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jembatan Milik Desa
(Dipilih)";74082000;2020;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Dukungan Pelaksanaan Program Jambanisasi untuk Keluarga Miskin;36354000;2020;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan Informasi Publik Desa (Poster, Baliho Dll);15000000;2020;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Pelatihan dan Penguatan Penyandang Difable (Penyandang Disabilitas);4000000;2020;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
"Fasilitasi Upaya Perlindungan Perempuan dan Anak Terhadap Tindakan
Kekerasan";1000000;2020;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Penyuluhan dan Pelatihan Bidang Kesehatan (untuk Masyarakat, Tenaga Kesehatan, Kader Kesehatan, dll);4650000;2020;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Kegiatan Penanggulangan Bencana;135560000;2020;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
Penanggulangan Keadaan Mendesa;498600000;2020;BULU;PETARUKAN;PEMALANG;JAWA TENGAH
URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
NA;NA;2015;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
NA;NA;2016;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan Dan Pemeliharaan  Jalan Desa;438915000;2017;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan Dan Pemeliharaan Turap/Bronjong/ Talud  Desa;174433000;2017;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan Dan Pemeliharaan Drainase/Gorong-Gorong/Plat Deker;215836000;2017;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan Dan Pengembangan Sarana Prasarana Komunikasi Dan Informatika;34726000;2017;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan Dan Pemeliharaan Sanitasi Lingkungan;69000000;2017;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan / Rehab gedung PAUD;63806000;2017;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Pembentukan dan Pengelolaan  BUM Desa & BUM Desa Bersama;105000000;2018;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Sanitasi Lingkungan;225000000;2018;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan  Jalan Desa;249411000;2018;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Turap/Bronjong/ Talud  Desa;541356000;2018;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Drainase/Gorong-Gorong/Plat Deker;187211000;2018;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pengembangan Sarana Prasarana Komunikasi dan Informatika;50000000;2018;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Fasilitasi Terhadap Kelompok-Kelompok Rentan, Kelompok Miskin, Perempuan, Masyarakat Adat, dan Difabel;10000000;2018;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan Promosi Kesehatan dan Gerakan Hidup Bersih dan Sehat;20574000;2018;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah NonFormal Milik Desa
(Honor, Pakaian dll)";10800000;2019;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan
Sarana/Prasarana/Alat Peraga";134887000;2019;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
"Penyelenggaraan Pos Kesehatan Desa/Polindes Milik Desa (obat, Insentif,
KB, dsb)";1800000;2019;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);95640000;2019;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
"Penyuluhan dan Pelatihan Bidang Kesehatan (Untuk Masy, Tenaga dan
Kader Kesehatan dll)";2942000;2019;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan Desa Siaga Kesehatan;6000000;2019;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
"Penyelenggaraan Promosi Kesehatan dan Gerakan Hidup Bersih dan
Sehat";9000000;2019;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitas/Peningkatan/Pengerasan Jalan Desa **);224285000;2019;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jalan Lingkungan
Permukiman **)";439841000;2019;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Turap/Bronjong/ Talud/ Tanggul
Desa** (kewenangan desa)";140556000;2019;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Sarana Prasarana Olah Raga/
Gedung Serba Guna";435171000;2019;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan/Peningkatan Irigasi Tersier;40020000;2019;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Pelatihan dan Penguatan Penyandang Difable (Penyandang Disabilitas);20000000;2019;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Sarana Prasarana Olah Raga/
Gedung Serba Guna";368562000;2020;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Kegiatan Penanggulangan Bencana;115522000;2020;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Penanggulangan Keadaan Mendesak;846000000;2020;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah Non-Formal Milik Desa
(Honor, Pakaian dll)";10800000;2020;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan PAUD/TK/TPA/TKA/TPQ/Madrasah Non-Formal Milik Desa** (Bantuan Honor Pengajar, Pakaian Seragam, Operasional, dst);3600000;2020;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);87700000;2020;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan PAUD/TK/TPA/TKA/TPQ/Madrasah Non-Formal Milik Desa** (Bantuan Honor Pengajar, Pakaian Seragam, Operasional, dst);40000000;2020;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Prasarana Jalan Desa (Gorong,
selokan dll)";48490000;2020;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Sumber Air Bersih Milik Desa
(Dipilih)";165463000;2020;TEGALMLATI;PETARUKAN;PEMALANG;JAWA TENGAH
URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
NA;NA;2015;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
NA;NA;2016;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan  Jalan Desa;900379000;2017;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pengembangan Sarana Prasarana Komunikasi dan Informatika;34726000;2017;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
2.3.19 FASILITASI DAN STIMULASI PEMUGARAN RTLH;20000000;2017;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Pembentukan dan Pengelolaan  BUM Desa & BUM Desa Bersama;25000000;2018;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Sanitasi Lingkungan;30000000;2018;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan  Jalan Desa;816005000;2018;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pengelolaan Air Bersih Berskala Desa;40000000;2018;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pengembangan Sarana Prasarana Komunikasi dan Informatika;50000000;2018;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Saluran Pembuangan Air Limbah;138458000;2018;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Drainase/Gorong-gorong/Plat Deker;116731000;2018;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Fasilitasi Terhadap Kelompok-kelompok Rentan, Kelompok Miskin, Perempuan, Masyarakat Adat dan Difabel;10000000;2018;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan Promosi Kesehatan dan Gerakan Hidup Bersih dan Sehat;20274000;2018;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Pengelolaan dan Pembinaan Anak Sekolah melalui Pemberian Makanan Tambahan Anak Sekolah (PMTAS);25000000;2018;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah NonFormal Milik Desa
(Honor, Pakaian dll)";13270000;2019;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Penyuluhan dan Pelatihan Pendidikan Bagi Masyarakat;30000000;2019;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
"Penyelenggaraan Pos Kesehatan Desa/Polindes Milik Desa (obat, Insentif,
KB, dsb)";30300000;2019;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);30300000;2019;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
"Penyuluhan dan Pelatihan Bidang Kesehatan (Untuk Masy, Tenaga dan
Kader Kesehatan dll)";11900000;2019;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana
Posyandu/Polindes/PKD **";16022000;2019;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan Promosi Kesehatan dan Gerakan Hidup Bersih dan Sehat;8100000;2019;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitas/Peningkatan/Pengerasan Jalan Desa **);102952000;2019;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jalan Lingkungan
Permukiman **)";79827000;2019;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jembatan Milik Desa **);79644000;2019;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Prasarana Jalan Desa (Gorong,
selokan dll)";830963800;2019;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Turap/Bronjong/ Talud/ Tanggul
Desa** (kewenangan desa)";97328000;2019;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
"Dukungan Pelaksanaan Program Pembangunan/Rehab Rumah Tidak Layak
Huni GAKIN";40000000;2019;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitasi/Peningkatan Sumber Air Bersih Milik Desa **);29066200;2019;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitasi/Peningkatan Fasilitas Pengelolaan Sampah **);87390000;2019;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Dukungan Pelaksanaan Program Jambanisasi untuk Keluarga Miskin;45000000;2019;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Pembinaan PKK;43550000;2019;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Peningkatan Kapatitas Perangkat Desa;10000000;2019;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
"Penyelenggaraan Pos Kesehatan Desa/Polindes Milik Desa (obat, Insentif,
KB, dsb)";1104654;2020;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);41900000;2020;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Prasarana Jalan Desa (Gorong,
selokan dll)";355903946;2020;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Turap/Bronjong/ Talud/ Tanggul
Desa** (kewenangan desa)";203755600;2020;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Pembinaan PKK;50000000;2020;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Kegiatan Pienanggulangan Bencana;174346800;2020;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Penanggulangan Keadaan Mendesak;848700000;2020;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Pemetaan dan Analisis Kemiskinan Desa secara Partisipatif;12120000;2020;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana
Posyandu/Polindes/PKD **";1500000;2020;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Sumber Air Bersih Milik Desa
(Dipilih)";32166000;2020;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan Informasi Publik Desa (Poster, Baliho Dll);15000000;2020;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
Pemeliharaan Saluran Irigasi Tersier/Sederhana;153120000;2020;LONING;PETARUKAN;PEMALANG;JAWA TENGAH
URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
NA;NA;2015;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
NA;NA;2016;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan Dan Pemeliharaan  Jalan Desa;979362000;2017;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan Dan Pengembangan Sarana Prasarana Komunikasi Dan Informatika;25911000;2017;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan Rumah Tidak layak Huni;21000000;2017;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan  Jalan Desa;946273000;2018;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pengembangan Sarana Prasarana Komunikasi dan Informatika;50000000;2018;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Fasilitasi dan Stimulasi Pemugaran Rumah Tidak Layak Huni;30000000;2018;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Pengembangan Sistem Informasi Desa;29400000;2019;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
"Pemeliharaan Sarana Prasarana Perpustakaan/Taman Bacaan/Sanggar
Belajar Milik Desa";18400000;2019;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
"Penyelenggaraan Pos Kesehatan Desa/Polindes Milik Desa (obat, Insentif,
KB, dsb)";73500000;2019;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);34000000;2019;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Pemeliharaan Jalan Desa;639559000;2019;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Prasarana Jalan Desa (Gorong,
selokan dll)";141279200;2019;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Turap/Bronjong/ Talud/ Tanggul
Desa** (kewenangan desa)";946757800;2019;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
"Dukungan Pelaksanaan Program Pembangunan/Rehab Rumah Tidak
Layak Huni GAKIN";50000000;2019;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Dukungan Pelaksanaan Program Jambanisasi untuk Keluarga Miskin;15000000;2019;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan Informasi Publik Desa (Poster, Baliho Dll);10000000;2019;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Peningkatan Produksi Peternakan  (alat produksi/pengelolaan/kandang);25000000;2019;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Pengembangan Sistem Informasi Desa;8000000;2020;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
"Penyelenggaraan Pos Kesehatan Desa/Polindes Milik Desa (obat, Insentif,
KB, dsb)";5000000;2020;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);45628800;2020;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
"Penyuluhan dan Pelatihan Bidang Kesehatan (Untuk Masy, Tenaga dan
Kader Kesehatan dll)";5000000;2020;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Pemeliharaan Turap/ Bronjong/ Talud/ Tanggul Desa** (kewenangan desa);799067900;2020;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
"Dukungan Pelaksanaan Program Pembangunan/Rehab Rumah Tidak
Layak Huni GAKIN";60000000;2020;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitas/Peningkatan Fasilitas Jamban Umum/MCK
umum, dll (Dipilih)";9000000;2020;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
"Pemeliharaan Sarana dan Prasarana Kepemudaan dan Olahraga Milik
Desa";7500000;2020;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Pemutahiran  Data Miskin/ Verifikasi dan Validasi Data Miskin;19220000;2020;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana Posyandu/Polindes/PKD **;2800000;2020;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Penanggulangan Bencana / penanganan Covid 19;198406300;2020;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Keadaan Mendesak/BLT DD;1011600000;2020;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
Penyediaan Operasional Pemerintah Desa (ATK, Honorarium PKPKD dan PPKD, perlengkapan perkantoran, pakaian dinas/atribut, listrik/telpon, dll);1700000;2020;KLAREYAN;PETARUKAN;PEMALANG;JAWA TENGAH
URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
NA;NA;2015;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
NA;NA;2016;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan Dan Pemeliharaan  Jalan Desa;801467000;2017;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan Dan Pemeliharaan Drainase/Gorong-Gorong/Plat Deker;64155000;2017;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan Sarana dan Prasarana Komunikasi;34726000;2017;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
2.3.19 FASILITASI DAN STIMULASI PENGARAHAN RUMAH TIDAK LAYAK HUNI;15000000;2017;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Sanitasi Lingkungan;18000000;2018;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan  Jalan Desa;623933000;2018;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Drainase/Gorong-Gorong/Plat Deker;478781000;2018;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
Penguatan Permodalan  Bum Desa;35000000;2018;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan dan Pengembangan Sarana Prasarana Komunikasi dan Informatika;50000000;2018;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
Fasilitasi Terhadap Kelompok-Kelompok Rentan, Kelompok Miskin, Perempuan, Masyarakat Adat, dan Difabel;10000000;2018;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan Promosi Kesehatan dan Gerakan Hidup Bersih dan Sehat;20274000;2018;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah NonFormal Milik Desa
(Honor, Pakaian dll)";7200000;2019;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan
Sarana/Prasarana/Alat Peraga";36658000;2019;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
"Penyelenggaraan Pos Kesehatan Desa/Polindes Milik Desa (obat, Insentif,
KB, dsb)";1800000;2019;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);68400000;2019;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana
Posyandu/Polindes/PKD **";6965000;2019;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitas/Peningkatan/Pengerasan Jalan Desa **);350685000;2019;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jalan Lingkungan
Permukiman **)";493587000;2019;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Prasarana Jalan Desa (Gorong,
selokan dll)";316337000;2019;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Turap/Bronjong/ Talud/ Tanggul
Desa** (kewenangan desa)";130707000;2019;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Sarana Prasarana Olah Raga/
Gedung Serba Guna";71608000;2019;KENDALREJO;PETARUKAN;PEMALANG;JAWA TENGAH
